model,training,eval_lang,step,pred_langs,emb_cos_sim
alephbert_heb_Hebr,['heb_Hebr'],deu_Latn,Labels,"{'deu': 0.89, 'eng': 0.04, 'por': 0.01, 'spa': 0.01, 'fra': 0.02, 'nld': 0.01, 'pol': 0.01}",
alephbert_heb_Hebr,['heb_Hebr'],deu_Latn,Base,"{'deu': 0.9, 'eng': 0.07, 'fra': 0.02, 'nld': 0.01}",0.6855134963989258
alephbert_heb_Hebr,['heb_Hebr'],deu_Latn,Step1,"{'deu': 0.91, 'eng': 0.06, 'fra': 0.01, 'heb': 0.02, 'nld': 0.01}",0.7287217378616333
alephbert_heb_Hebr,['heb_Hebr'],deu_Latn,Step50+sbeam8,"{'deu': 0.83, 'eng': 0.09, 'fra': 0.01, 'heb': 0.03, 'nld': 0.03}",0.7574714422225952
alephbert_heb_Hebr,['heb_Hebr'],ydd_Hebr,Labels,"{'heb': 0.97, 'fra': 0.02, 'eng': 0.01}",
alephbert_heb_Hebr,['heb_Hebr'],ydd_Hebr,Base,"{'heb': 0.99, 'fra': 0.01}",0.47382795810699463
alephbert_heb_Hebr,['heb_Hebr'],ydd_Hebr,Step1,"{'heb': 0.99, 'fra': 0.01}",0.47317442297935486
alephbert_heb_Hebr,['heb_Hebr'],ydd_Hebr,Step50+sbeam8,"{'heb': 0.99, 'fra': 0.01}",0.4763526916503906
alephbert_heb_Hebr,['heb_Hebr'],heb_Hebr,Labels,"{'heb': 0.99, 'fra': 0.01}",
alephbert_heb_Hebr,['heb_Hebr'],heb_Hebr,Base,"{'heb': 0.99, 'fra': 0.01}",0.8601236343383789
alephbert_heb_Hebr,['heb_Hebr'],heb_Hebr,Step1,"{'heb': 0.99, 'fra': 0.01}",0.8773176670074463
alephbert_heb_Hebr,['heb_Hebr'],heb_Hebr,Step50+sbeam8,"{'heb': 0.99, 'fra': 0.01}",0.9017850756645203
alephbert_heb_Hebr,['heb_Hebr'],arb_Arab,Labels,"{'fas': 0.03, 'ara': 0.94, 'fra': 0.02}",
alephbert_heb_Hebr,['heb_Hebr'],arb_Arab,Base,"{'ara': 0.9, 'fas': 0.05, 'heb': 0.04, 'fra': 0.01}",0.7674503326416016
alephbert_heb_Hebr,['heb_Hebr'],arb_Arab,Step1,"{'ara': 0.6, 'heb': 0.22, 'fra': 0.01, 'fas': 0.03, 'rus': 0.13}",0.6653864979743958
alephbert_heb_Hebr,['heb_Hebr'],arb_Arab,Step50+sbeam8,"{'ara': 0.64, 'heb': 0.28, 'fra': 0.01, 'fas': 0.02, 'eng': 0.03, 'rus': 0.02}",0.5921531319618225
alephbert_heb_Hebr,['heb_Hebr'],amh_Ethi,Labels,"{'amh': 0.94, 'fra': 0.02, 'eng': 0.02}",
alephbert_heb_Hebr,['heb_Hebr'],amh_Ethi,Base,"{'eng': 0.52, 'heb': 0.3, 'swa': 0.01, 'fra': 0.08, 'zho': 0.03, 'fin': 0.02, 'xho': 0.02, 'fry': 0.01, 'deu': 0.01}",0.32028234004974365
alephbert_heb_Hebr,['heb_Hebr'],amh_Ethi,Step1,"{'eng': 0.35, 'heb': 0.53, 'som': 0.02, 'fra': 0.05, 'fin': 0.01, 'fry': 0.01, 'deu': 0.03}",0.2874423861503601
alephbert_heb_Hebr,['heb_Hebr'],amh_Ethi,Step50+sbeam8,"{'heb': 0.57, 'eng': 0.28, 'fra': 0.05, 'deu': 0.06, 'fin': 0.01, 'spa': 0.02, 'fry': 0.01}",0.2635209858417511
alephbert_heb_Hebr,['heb_Hebr'],mlt_Latn,Labels,"{'deu': 0.02, 'fra': 0.05, 'eng': 0.09, 'swe': 0.01, 'mlt': 0.42, 'pol': 0.11, 'ita': 0.14, 'ron': 0.02, 'epo': 0.01, 'som': 0.01, 'lav': 0.01, 'nor': 0.01, 'spa': 0.01, 'cat': 0.01, 'cym': 0.01, 'nno': 0.01, 'fin': 0.01, 'rus': 0.01}",
alephbert_heb_Hebr,['heb_Hebr'],mlt_Latn,Base,"{'eng': 0.37, 'deu': 0.01, 'ita': 0.03, 'mri': 0.02, 'heb': 0.11, 'por': 0.15, 'rus': 0.01, 'zho': 0.08, 'kor': 0.05, 'fra': 0.07, 'yor': 0.01, 'spa': 0.01, 'lit': 0.01, 'ina': 0.01, 'vie': 0.04}",0.5443857908248901
alephbert_heb_Hebr,['heb_Hebr'],mlt_Latn,Step1,"{'eng': 0.26, 'heb': 0.25, 'fra': 0.1, 'tur': 0.01, 'por': 0.2, 'ita': 0.03, 'rus': 0.01, 'zho': 0.06, 'kor': 0.01, 'yor': 0.01, 'vie': 0.04, 'ind': 0.02, 'lit': 0.01}",0.44113340973854065
alephbert_heb_Hebr,['heb_Hebr'],mlt_Latn,Step50+sbeam8,"{'fra': 0.1, 'heb': 0.19, 'tur': 0.03, 'eng': 0.31, 'spa': 0.01, 'por': 0.17, 'ita': 0.06, 'rus': 0.03, 'ind': 0.02, 'yor': 0.01, 'zho': 0.03, 'mkd': 0.01, 'lit': 0.01}",0.424919992685318
alephbert_heb_Hebr,['heb_Hebr'],hin_Deva,Labels,"{'hin': 0.72, 'mar': 0.12, 'fra': 0.03, 'eng': 0.09, 'zho': 0.02, 'new': 0.01}",
alephbert_heb_Hebr,['heb_Hebr'],hin_Deva,Base,"{'eng': 0.29, 'fra': 0.03, 'zho': 0.05, 'kor': 0.05, 'rus': 0.45, 'heb': 0.06, 'spa': 0.01, 'yor': 0.01, 'ukr': 0.02, 'ind': 0.01, 'por': 0.01}",0.35920649766921997
alephbert_heb_Hebr,['heb_Hebr'],hin_Deva,Step1,"{'eng': 0.36, 'fra': 0.03, 'heb': 0.09, 'zho': 0.07, 'kor': 0.06, 'rus': 0.17, 'por': 0.09, 'ind': 0.11, 'lit': 0.01}",0.3471131920814514
alephbert_heb_Hebr,['heb_Hebr'],hin_Deva,Step50+sbeam8,"{'eng': 0.33, 'fra': 0.11, 'ind': 0.23, 'zho': 0.07, 'kor': 0.02, 'por': 0.08, 'rus': 0.07, 'heb': 0.08}",0.4050508737564087
alephbert_heb_Hebr,['heb_Hebr'],urd_Arab,Labels,"{'urd': 0.75, 'fas': 0.14, 'ara': 0.08, 'fra': 0.01, 'eng': 0.01}",
alephbert_heb_Hebr,['heb_Hebr'],urd_Arab,Base,"{'ara': 0.59, 'heb': 0.01, 'zho': 0.25, 'kor': 0.09, 'fas': 0.01, 'rus': 0.02, 'fra': 0.01}",0.44035738706588745
alephbert_heb_Hebr,['heb_Hebr'],urd_Arab,Step1,"{'rus': 0.58, 'ara': 0.02, 'zho': 0.32, 'fas': 0.01, 'heb': 0.03, 'fra': 0.01, 'vie': 0.01}",0.40247103571891785
alephbert_heb_Hebr,['heb_Hebr'],urd_Arab,Step50+sbeam8,"{'zho': 0.49, 'eng': 0.03, 'ind': 0.15, 'vie': 0.03, 'fra': 0.09, 'ara': 0.03, 'rus': 0.07, 'heb': 0.09, 'fas': 0.01}",0.4245583117008209
alephbert_heb_Hebr,['heb_Hebr'],guj_Gujr,Labels,"{'guj': 0.96, 'eng': 0.01, 'fra': 0.02}",
alephbert_heb_Hebr,['heb_Hebr'],guj_Gujr,Base,"{'eng': 0.46, 'swa': 0.02, 'heb': 0.36, 'fra': 0.07, 'zho': 0.03, 'kor': 0.02, 'ita': 0.01}",0.39708203077316284
alephbert_heb_Hebr,['heb_Hebr'],guj_Gujr,Step1,"{'eng': 0.26, 'fra': 0.08, 'heb': 0.61, 'zho': 0.03, 'kor': 0.01}",0.31752848625183105
alephbert_heb_Hebr,['heb_Hebr'],guj_Gujr,Step50+sbeam8,"{'fra': 0.01, 'eng': 0.13, 'heb': 0.78, 'zho': 0.02, 'spa': 0.06}",0.18828590214252472
alephbert_heb_Hebr,['heb_Hebr'],sin_Sinh,Labels,"{'sin': 0.94, 'eng': 0.03, 'fra': 0.02}",
alephbert_heb_Hebr,['heb_Hebr'],sin_Sinh,Base,"{'eng': 0.4, 'heb': 0.45, 'fra': 0.08, 'swa': 0.01, 'fin': 0.01, 'zho': 0.01, 'fry': 0.01}",0.4087628722190857
alephbert_heb_Hebr,['heb_Hebr'],sin_Sinh,Step1,"{'eng': 0.26, 'heb': 0.65, 'fra': 0.07, 'som': 0.01}",0.4558616280555725
alephbert_heb_Hebr,['heb_Hebr'],sin_Sinh,Step50+sbeam8,"{'fra': 0.06, 'heb': 0.72, 'eng': 0.2, 'spa': 0.01, 'zho': 0.01}",0.22887033224105835
alephbert_heb_Hebr,['heb_Hebr'],pan_Guru,Labels,"{'pan': 0.96, 'fra': 0.03, 'eng': 0.01}",
alephbert_heb_Hebr,['heb_Hebr'],pan_Guru,Base,"{'heb': 0.37, 'eng': 0.49, 'fra': 0.06, 'swa': 0.01, 'vie': 0.01, 'zho': 0.01, 'spa': 0.01, 'rus': 0.01, 'ceb': 0.02}",0.3191417455673218
alephbert_heb_Hebr,['heb_Hebr'],pan_Guru,Step1,"{'heb': 0.64, 'fra': 0.06, 'eng': 0.28, 'zho': 0.01}",0.3694695234298706
