model,training,eval_lang,step,pred_langs,emb_cos_sim,eval_lang_encoded,script,family,script_lr,training_script_lr,cmn_Hani,deu_Latn,heb_Hebr,step_Base,step_Labels,step_Step1,step_Step50+sbeam8
text2vec_cmn_Hani,['cmn_Hani'],deu_Latn,Step1,"{'eng_Latn': 0.73, 'deu_Latn': 0.06, 'cmn_Hani': 0.07}",0.6912457942962646,3,0,0,1,1,1,0,0,0.0,0.0,1.0,0.0
text2vec_cmn_Hani,['cmn_Hani'],deu_Latn,Step50+sbeam8,"{'eng_Latn': 0.74, 'deu_Latn': 0.07, 'cmn_Hani': 0.06}",0.7342196702957153,3,0,0,1,1,1,0,0,0.0,0.0,0.0,1.0
text2vec_cmn_Hani,['cmn_Hani'],deu_Latn,Base,"{'eng_Latn': 0.74, 'deu_Latn': 0.06}",0.7019797563552856,3,0,0,1,1,1,0,0,1.0,0.0,0.0,0.0
text2vec_cmn_Hani,['cmn_Hani'],ydd_Hebr,Step1,"{'cmn_Hani': 0.19, 'eng_Latn': 0.13}",0.6520296931266785,19,0,0,0,1,1,0,0,0.0,0.0,1.0,0.0
text2vec_cmn_Hani,['cmn_Hani'],ydd_Hebr,Step50+sbeam8,"{'eng_Latn': 0.1, 'cmn_Hani': 0.11}",0.7532069683074951,19,0,0,0,1,1,0,0,0.0,0.0,0.0,1.0
text2vec_cmn_Hani,['cmn_Hani'],ydd_Hebr,Base,"{'cmn_Hani': 0.42, 'eng_Latn': 0.16}",0.7221182584762573,19,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0
text2vec_cmn_Hani,['cmn_Hani'],heb_Hebr,Step1,"{'cmn_Hani': 0.08, 'eng_Latn': 0.09}",0.7210171222686768,6,0,0,0,1,1,0,0,0.0,0.0,1.0,0.0
text2vec_cmn_Hani,['cmn_Hani'],heb_Hebr,Step50+sbeam8,{'eng_Latn': 0.1},0.7323696613311768,6,0,0,0,1,1,0,0,0.0,0.0,0.0,1.0
text2vec_cmn_Hani,['cmn_Hani'],heb_Hebr,Base,"{'cmn_Hani': 0.49, 'eng_Latn': 0.14}",0.7050711512565613,6,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0
text2vec_cmn_Hani,['cmn_Hani'],arb_Arab,Step1,"{'eng_Latn': 0.06, 'cmn_Hani': 0.11}",0.7300222516059875,1,0,0,0,1,1,0,0,0.0,0.0,1.0,0.0
text2vec_cmn_Hani,['cmn_Hani'],arb_Arab,Base,"{'cmn_Hani': 0.63, 'eng_Latn': 0.12}",0.7030978798866272,1,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0
text2vec_cmn_Hani,['cmn_Hani'],amh_Ethi,Step1,"{'cmn_Hani': 0.22, 'eng_Latn': 0.15}",0.758806586265564,0,0,0,1,1,1,0,0,0.0,0.0,1.0,0.0
text2vec_cmn_Hani,['cmn_Hani'],amh_Ethi,Step50+sbeam8,"{'cmn_Hani': 0.13, 'eng_Latn': 0.1}",0.7636764645576477,0,0,0,1,1,1,0,0,0.0,0.0,0.0,1.0
text2vec_cmn_Hani,['cmn_Hani'],amh_Ethi,Base,"{'cmn_Hani': 0.56, 'eng_Latn': 0.19}",0.7194631695747375,0,0,0,1,1,1,0,0,1.0,0.0,0.0,0.0
text2vec_cmn_Hani,['cmn_Hani'],mlt_Latn,Step1,"{'eng_Latn': 0.4, 'cmn_Hani': 0.08}",0.6932644844055176,13,0,0,1,1,1,0,0,0.0,0.0,1.0,0.0
text2vec_cmn_Hani,['cmn_Hani'],mlt_Latn,Step50+sbeam8,"{'eng_Latn': 0.37, 'cmn_Hani': 0.07}",0.6825422048568726,13,0,0,1,1,1,0,0,0.0,0.0,0.0,1.0
text2vec_cmn_Hani,['cmn_Hani'],mlt_Latn,Base,"{'eng_Latn': 0.4, 'cmn_Hani': 0.08}",0.7261151075363159,13,0,0,1,1,1,0,0,1.0,0.0,0.0,0.0
text2vec_cmn_Hani,['cmn_Hani'],hin_Deva,Step1,"{'eng_Latn': 0.23, 'cmn_Hani': 0.18}",0.7314922213554382,7,0,0,1,1,1,0,0,0.0,0.0,1.0,0.0
text2vec_cmn_Hani,['cmn_Hani'],hin_Deva,Step50+sbeam8,"{'eng_Latn': 0.21, 'cmn_Hani': 0.16}",0.7657396793365479,7,0,0,1,1,1,0,0,0.0,0.0,0.0,1.0
text2vec_cmn_Hani,['cmn_Hani'],hin_Deva,Base,"{'eng_Latn': 0.3, 'cmn_Hani': 0.32}",0.6984260082244873,7,0,0,1,1,1,0,0,1.0,0.0,0.0,0.0
text2vec_cmn_Hani,['cmn_Hani'],urd_Arab,Step1,"{'cmn_Hani': 0.23, 'eng_Latn': 0.14}",0.7241194248199463,18,0,0,0,1,1,0,0,0.0,0.0,1.0,0.0
text2vec_cmn_Hani,['cmn_Hani'],urd_Arab,Step50+sbeam8,"{'eng_Latn': 0.13, 'cmn_Hani': 0.1}",0.7387039065361023,18,0,0,0,1,1,0,0,0.0,0.0,0.0,1.0
text2vec_cmn_Hani,['cmn_Hani'],urd_Arab,Base,"{'cmn_Hani': 0.53, 'eng_Latn': 0.24}",0.694671630859375,18,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0
text2vec_cmn_Hani,['cmn_Hani'],guj_Gujr,Step1,"{'cmn_Hani': 0.2, 'eng_Latn': 0.11}",0.7370869517326355,5,0,0,1,1,1,0,0,0.0,0.0,1.0,0.0
text2vec_cmn_Hani,['cmn_Hani'],guj_Gujr,Step50+sbeam8,"{'cmn_Hani': 0.12, 'eng_Latn': 0.07}",0.7528703212738037,5,0,0,1,1,1,0,0,0.0,0.0,0.0,1.0
text2vec_cmn_Hani,['cmn_Hani'],guj_Gujr,Base,"{'cmn_Hani': 0.55, 'eng_Latn': 0.14}",0.7248321175575256,5,0,0,1,1,1,0,0,1.0,0.0,0.0,0.0
